id,domain,robots_content,sitemap_content
11,eugo.gov.si,"User-agent: *
Disallow: /data/templates/
Disallow: /t3lib/
Disallow: /typo3/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /uploads/
Disallow: /si/
Disallow: /*?id=*

",""
12,eugo.gov.si,"User-agent: *
Disallow: /data/templates/
Disallow: /t3lib/
Disallow: /typo3/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /uploads/
Disallow: /si/
Disallow: /*?id=*

",""
13,euprava.gov.si,"User-agent: *
Disallow: /e-uprava/oglasnadeska.html
Disallow: /*?view_mode* 
Disallow: /*?bold_mode* 
Disallow: /*?caps_mode* 


",""
14,euprava.gov.si,"User-agent: *
Disallow: /e-uprava/oglasnadeska.html
Disallow: /*?view_mode* 
Disallow: /*?bold_mode* 
Disallow: /*?caps_mode* 


",""
15,euprava.gov.si,"User-agent: *
Disallow: /e-uprava/oglasnadeska.html
Disallow: /*?view_mode* 
Disallow: /*?bold_mode* 
Disallow: /*?caps_mode* 


",""
16,mju.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
17,entrust.net,"User-agent: *
Disallow: /",""
18,mju.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
19,entrust.net,"User-agent: *
Disallow: /",""
20,entrust.net,"User-agent: *
Disallow: /",""
21,entrust.net,"User-agent: *
Disallow: /",""
22,entrust.net,"User-agent: *
Disallow: /",""
23,entrust.net,"User-agent: *
Disallow: /",""
24,entrust.net,"User-agent: *
Disallow: /",""
25,entrust.net,"User-agent: *
Disallow: /",""
26,prostor-s.gov.si,/,/
27,projekt.e-prostor.gov.si,/,/
28,arsq.gov.si,/,/
29,arsq.gov.si,/,/
30,geoportal.gov.si,/,/
31,geoportal.gov.si,/,/
32,ukom.gov.si,"User-Agent: *
Crawl-delay: 10
Allow: /
Disallow: /fileadmin/common/
Disallow: /typo3/
Disallow: /urednik/
Disallow: /typo3conf/
Disallow: /typo3temp/
Disallow: /*?id=*
Disallow: /*type=98*
Disallow: /*&type=100
Disallow: /si/article/14/
Disallow: /*?eID=*

User-agent: sistrix
Disallow: /
",""
33,evode.arso.gov.si,/,/
34,gis.arso.gov.si,/,/
35,vprasalnik.gu.gov.si,/,/
36,vprasalnik.gu.gov.si,/,/
37,ovn.gu.gov.si,/,/
