id,page_id,data_type_code
414,747,PDF
307,6345,DOC
289,6308,PDF
309,6341,DOC
353,6378,PDF
360,6379,DOC
363,6378,PDF
384,727,PDF
404,823,PDF
412,747,PDF
311,6342,DOC
313,6349,DOC
285,567,PDF
356,6379,DOC
357,6379,DOC
358,6379,DOC
407,823,PDF
310,6339,PDF
387,725,DOC
411,743,PDF
316,6349,DOC
320,6350,PDF
312,6306,PDF
326,6355,PDF
330,6367,PDF
317,6306,PDF
315,6306,PDF
325,6355,PDF
314,6306,PDF
331,6369,DOC
368,709,PDF
371,703,PDF
375,699,PDF
376,699,PDF
377,699,PDF
378,723,PDF
383,702,PDF
386,725,DOC
395,799,PDF
401,737,PDF
408,786,PDF
409,771,PDF
422,937,PDF
318,6306,PDF
372,714,PDF
323,6329,PDF
380,718,PDF
446,589,DOC
469,7724,DOC
482,7739,DOC
562,7385,PDF
564,7894,DOC
586,3454,DOC
630,1984,PDF
638,1889,DOC
645,9166,DOC
662,9177,PDF
664,9185,DOC
689,9581,PDF
732,9645,PDF
766,9651,PDF
771,9599,PDF
831,9613,PDF
848,9507,PDF
867,9686,PDF
889,9712,PDF
930,9438,PDF
975,1501,PDF
1016,10947,DOC
1042,10958,PDF
1067,11038,PDF
1088,3912,DOC
1123,1511,PDF
1180,1992,PDF
1185,13840,PDF
1189,3702,DOC
1255,14555,PDF
1254,14555,PDF
1283,14575,PDF
1305,14624,PDF
1307,14624,PDF
1336,14610,DOC
1361,14675,PDF
1386,14736,DOC
1391,14777,DOC
1416,5779,PDF
1450,15374,DOC
1493,15382,PDF
1552,15496,PDF
1578,16086,PDF
1598,16103,DOC
1611,16110,DOC
1631,15408,PDF
1658,15463,PDF
1681,15537,DOC
1696,15575,PDF
1699,16005,DOC
1719,16038,DOC
1731,15801,PDF
1755,15873,PDF
1769,15834,PDF
1792,15814,PDF
1813,15909,DOC
1845,15928,DOC
1858,15576,PDF
1882,15548,DOC
1911,16210,DOC
1913,16213,DOC
1949,3961,PDF
